CustomerID,Age_kmeans,Annual_Income_k_kmeans,Spending_Score_1100_kmeans,Income_to_Spending_Ratio_kmeans,Age_Group_kmeans,Spending_Behavior_kmeans,Savings_Potential_kmeans,Spending_Type_kmeans,KMeans_Cluster,Age_hierarchical,Annual_Income_k_hierarchical,Spending_Score_1100_hierarchical,Income_to_Spending_Ratio_hierarchical,Age_Group_hierarchical,Spending_Behavior_hierarchical,Savings_Potential_hierarchical,Spending_Type_hierarchical,Hierarchical_Cluster
5,60,77.215,5,15.443,Senior,Low,72.215,High Savings,1,60,77.215,5,15.443,Senior,Low,72.215,High Savings,2
9,36,88.832,13,6.833230769230768,Middle-Aged,Low,75.832,High Savings,1,36,88.832,13,6.833230769230768,Middle-Aged,Low,75.832,High Savings,2
11,28,88.781,47,1.8889574468085109,Young,Medium,41.781000000000006,High Spending,1,28,88.781,47,1.8889574468085109,Young,Medium,41.781000000000006,High Spending,2
46,26,92.986,13,7.152769230769231,Young,Low,79.986,High Savings,1,26,92.986,13,7.152769230769231,Young,Low,79.986,High Savings,2
60,61,85.353,31,2.753322580645161,Senior,Low,54.352999999999994,Balanced,1,61,85.353,31,2.753322580645161,Senior,Low,54.352999999999994,Balanced,2
65,34,92.745,40,2.318625,Middle-Aged,Medium,52.745000000000005,Balanced,1,34,92.745,40,2.318625,Middle-Aged,Medium,52.745000000000005,Balanced,2
82,48,80.64,40,2.016,Middle-Aged,Medium,40.64,Balanced,1,48,80.64,40,2.016,Middle-Aged,Medium,40.64,Balanced,2
86,31,81.18,73,1.112054794520548,Middle-Aged,High,8.180000000000007,High Spending,1,31,81.18,73,1.112054794520548,Middle-Aged,High,8.180000000000007,High Spending,2
88,57,78.45,9,8.716666666666667,Senior,Low,69.45,High Savings,1,57,78.45,9,8.716666666666667,Senior,Low,69.45,High Savings,2
96,42,89.459,25,3.57836,Middle-Aged,Low,64.459,Balanced,1,42,89.459,25,3.57836,Middle-Aged,Low,64.459,Balanced,2
119,59,84.46,29,2.912413793103448,Senior,Low,55.459999999999994,Balanced,1,59,84.46,29,2.912413793103448,Senior,Low,55.459999999999994,Balanced,2
150,44,90.219,45,2.0048666666666666,Middle-Aged,Medium,45.218999999999994,Balanced,1,44,90.219,45,2.0048666666666666,Middle-Aged,Medium,45.218999999999994,Balanced,2
168,62,81.726,8,10.21575,Senior,Low,73.726,High Savings,1,62,81.726,8,10.21575,Senior,Low,73.726,High Savings,2
176,68,88.859,34,2.6134999999999997,Senior,Medium,54.858999999999995,Balanced,1,68,88.859,34,2.6134999999999997,Senior,Medium,54.858999999999995,Balanced,2
196,69,88.752,97,0.9149690721649484,Senior,High,-8.248000000000005,High Spending,1,69,88.752,97,0.9149690721649484,Senior,High,-8.248000000000005,High Spending,2
200,56,92.844,35,2.652685714285714,Senior,Medium,57.843999999999994,Balanced,1,56,92.844,35,2.652685714285714,Senior,Medium,57.843999999999994,Balanced,2
223,20,82.474,19,4.3407368421052634,Young,Low,63.474,High Savings,1,20,82.474,19,4.3407368421052634,Young,Low,63.474,High Savings,2
233,54,90.642,11,8.240181818181817,Senior,Low,79.642,High Savings,1,54,90.642,11,8.240181818181817,Senior,Low,79.642,High Savings,2
277,35,85.745,100,0.85745,Middle-Aged,High,-14.254999999999995,High Spending,1,35,85.745,100,0.85745,Middle-Aged,High,-14.254999999999995,High Spending,2
282,42,80.39,37,2.172702702702703,Middle-Aged,Medium,43.39,Balanced,1,42,80.39,37,2.172702702702703,Middle-Aged,Medium,43.39,Balanced,2
290,33,83.477,31,2.6928064516129036,Middle-Aged,Low,52.477,Balanced,1,33,83.477,31,2.6928064516129036,Middle-Aged,Low,52.477,Balanced,2
293,69,79.836,40,1.9959,Senior,Medium,39.836,High Spending,1,69,79.836,40,1.9959,Senior,Medium,39.836,High Spending,2
305,36,85.697,46,1.8629782608695653,Middle-Aged,Medium,39.697,High Spending,1,36,85.697,46,1.8629782608695653,Middle-Aged,Medium,39.697,High Spending,2
313,69,89.252,26,3.432769230769231,Senior,Low,63.251999999999995,Balanced,1,69,89.252,26,3.432769230769231,Senior,Low,63.251999999999995,Balanced,2
337,50,83.686,98,0.8539387755102041,Middle-Aged,High,-14.313999999999991,High Spending,1,50,83.686,98,0.8539387755102041,Middle-Aged,High,-14.313999999999991,High Spending,2
355,55,83.688,51,1.6409411764705883,Senior,Medium,32.688,High Spending,1,55,83.688,51,1.6409411764705883,Senior,Medium,32.688,High Spending,2
369,65,92.152,12,7.679333333333333,Senior,Low,80.152,High Savings,1,65,92.152,12,7.679333333333333,Senior,Low,80.152,High Savings,2
376,45,83.479,21,3.975190476190476,Middle-Aged,Low,62.479,Balanced,1,45,83.479,21,3.975190476190476,Middle-Aged,Low,62.479,Balanced,2
391,69,82.303,32,2.57196875,Senior,Low,50.303,Balanced,1,69,82.303,32,2.57196875,Senior,Low,50.303,Balanced,2
392,38,86.125,10,8.6125,Middle-Aged,Low,76.125,High Savings,1,38,86.125,10,8.6125,Middle-Aged,Low,76.125,High Savings,2
395,50,86.323,17,5.077823529411765,Middle-Aged,Low,69.323,High Savings,1,50,86.323,17,5.077823529411765,Middle-Aged,Low,69.323,High Savings,2
417,50,77.584,17,4.563764705882353,Middle-Aged,Low,60.584,High Savings,1,50,77.584,17,4.563764705882353,Middle-Aged,Low,60.584,High Savings,2
419,60,88.477,31,2.854096774193549,Senior,Low,57.477,Balanced,1,60,88.477,31,2.854096774193549,Senior,Low,57.477,Balanced,2
